,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
2064,1000,0.2,A7,300gsm Art Board Coated,None,Double Sided,,26.12,1,FLY-461-565-472-656-EXPRESS
2065,1000,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,56.58,1,FLY-548-462-573-566-EXPRESS
2066,1000,0.0,Square 148mm x 148mm,450gsm Art Board Silk Finish,None,Double Sided,,104.5,1,FLY-655-551-658-522-EXPRESS
2067,1000,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,59.56,2,FLY-601-607-609-608-EXPRESS
2069,2000,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,,78.38,1,FLY-564-574-602-511-EXPRESS
2070,2000,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,,71.48,2,FLY-520-565-521-515-EXPRESS
2072,2000,0.2,A3,300gsm Art Board Coated,None,Double Sided,,355.3,1,FLY-612-568-659-556-EXPRESS
2073,2000,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,23.83,1,FLY-619-694-464-473-EXPRESS
2074,2000,0.0,A6,130gsm Art Paper Silk Finish,None,Single Sided,,25.81,1,FLY-649-529-558-466-EXPRESS
2075,2000,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Single Sided,,71.48,2,FLY-506-518-610-467-EXPRESS
2076,2000,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,78.38,1,FLY-505-666-521-419-EXPRESS
2080,2000,0.2,A4,100gsm Premium Smooth White Paper,None,Double Sided,,75.24,2,FLY-561-511-476-552-EXPRESS
2081,2000,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,99.28,1,FLY-565-606-600-651-EXPRESS
2082,2000,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,209.0,1,FLY-459-460-602-517-EXPRESS
2084,2000,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,,57.48,1,FLY-562-706-529-476-EXPRESS
2085,2000,0.2,A7,450gsm Art Board Silk Finish,None,Double Sided,,53.3,1,FLY-522-557-558-563-EXPRESS
2088,2000,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,124.09,1,FLY-610-562-605-516-EXPRESS
2089,2000,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,84.38,1,FLY-699-606-565-557-EXPRESS
2090,2000,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,,54.6,1,FLY-605-600-601-606-EXPRESS
2091,2000,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Double Sided,,49.12,1,FLY-513-607-622-594-EXPRESS
2092,2000,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,,27.17,1,FLY-551-516-514-652-EXPRESS
