,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceSaver,Production Days Saver,Saver Sku
178,50,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,16.29,5,FLY-470-519-612-518-SAVER
179,50,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,14.15,5,FLY-474-708-604-652-SAVER
181,50,0.0,A5,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-565-564-512-569-SAVER
182,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,16.29,5,FLY-610-562-605-516-SAVER
183,50,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,16.7,6,FLY-511-520-552-520-SAVER
184,50,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,27.08,5,FLY-652-540-557-656-SAVER
185,50,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,14.57,5,FLY-453-522-524-458-SAVER
186,50,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,20.76,5,FLY-419-553-522-705-SAVER
187,50,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,23.46,5,FLY-558-611-509-468-SAVER
188,50,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,24.01,5,FLY-514-561-525-612-SAVER
189,50,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,13.72,6,FLY-569-513-607-564-SAVER
191,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,14.9,5,FLY-405-508-523-603-SAVER
192,50,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,13.72,6,FLY-704-461-567-565-SAVER
194,50,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,18.86,5,FLY-601-547-654-469-SAVER
195,50,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,12.69,6,FLY-665-709-560-606-SAVER
196,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,21.43,6,FLY-601-607-609-608-SAVER
197,50,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,15.01,5,FLY-645-577-696-648-SAVER
200,50,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,17.15,5,FLY-565-515-598-512-SAVER
201,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-615-560-513-413-SAVER
202,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,15.88,6,FLY-512-552-606-524-SAVER
203,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.15,5,FLY-561-556-555-699-SAVER
204,50,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,12.64,5,FLY-662-658-660-553-SAVER
205,50,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,14.9,5,FLY-548-601-610-618-SAVER
206,50,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,17.15,5,FLY-507-621-528-659-SAVER
207,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,22.56,6,FLY-516-600-653-599-SAVER
208,50,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.15,5,FLY-614-656-453-557-SAVER
209,50,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,22.29,5,FLY-608-603-467-564-SAVER
210,50,0.0,A6,300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-616-510-520-657-SAVER
211,50,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,27.08,5,FLY-651-559-558-560-SAVER
212,50,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,15.88,6,FLY-605-653-555-522-SAVER
213,50,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,,21.43,6,FLY-606-563-558-465-SAVER
214,50,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,20.76,5,FLY-459-460-602-517-SAVER
215,50,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,15.43,5,FLY-698-715-508-600-SAVER
216,50,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,13.98,5,FLY-510-660-562-561-SAVER
217,50,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,19.85,5,FLY-559-497-514-462-SAVER
218,50,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,28.29,6,FLY-689-461-464-565-SAVER
219,50,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Double Sided,,15.34,5,FLY-509-515-644-514-SAVER
220,50,0.2,A3,300gsm Art Board Coated,None,Single Sided,,24.01,5,FLY-699-516-565-577-SAVER
221,50,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,25.27,5,FLY-600-652-559-418-SAVER
222,50,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Single Sided,,14.57,5,FLY-543-472-525-562-SAVER
223,50,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,13.29,5,FLY-619-694-464-473-SAVER
224,50,0.2,A6,100gsm Premium Smooth White Paper,None,Double Sided,,14.44,6,FLY-696-612-513-616-SAVER
225,50,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,19.85,5,FLY-475-700-701-515-SAVER
226,50,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,,16.29,5,FLY-506-554-607-507-SAVER
227,50,0.0,A5,130gsm Art Paper Gloss Finish,None,Double Sided,,14.9,5,FLY-606-700-564-563-SAVER
