,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Price,Turnaround,SKU
1335,500,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,18.86,1,FLY-563-655-515-563-EXPRESS
1336,500,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,16.39,1,FLY-662-658-660-553-EXPRESS
1337,500,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,31.35,1,FLY-405-508-523-603-EXPRESS
1338,500,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,45.67,1,FLY-565-606-600-651-EXPRESS
1339,500,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,89.34,1,FLY-508-612-611-702-EXPRESS
1340,500,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,36.53,2,FLY-520-565-521-515-EXPRESS
1341,500,0.0,A5,300gsm Art Board Coated,None,Double Sided,49.12,1,FLY-565-564-512-569-EXPRESS
1342,500,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,54.34,1,FLY-608-511-549-465-EXPRESS
1343,500,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,83.6,1,FLY-652-540-557-656-EXPRESS
1344,500,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,59.56,1,FLY-702-614-473-603-EXPRESS
1345,500,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,29.26,1,FLY-519-505-603-518-EXPRESS
