,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceStandard,Production Days Standard,Standard Sku
99,25,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,,15.2,3,FLY-562-706-529-476-STANDARD
100,25,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,,17.15,4,FLY-663-694-473-564-STANDARD
101,25,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,37.0,3,FLY-513-549-508-562-STANDARD
102,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,,16.24,3,FLY-702-614-473-603-STANDARD
103,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-519-505-603-518-STANDARD
104,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,15.34,3,FLY-610-562-605-516-STANDARD
105,25,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Double Sided,,16.15,3,FLY-604-645-568-602-STANDARD
106,25,0.2,A6,120gsm Premium Smooth White Paper,None,Double Sided,,18.05,4,FLY-556-604-569-542-STANDARD
107,25,0.0,A4,300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-550-608-599-516-STANDARD
108,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-513-607-622-594-STANDARD
109,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,13.54,3,FLY-619-694-464-473-STANDARD
110,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,,13.54,3,FLY-561-661-558-561-STANDARD
111,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.16,4,FLY-520-556-554-566-STANDARD
112,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,13.72,4,FLY-569-513-607-564-STANDARD
113,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-559-497-514-462-STANDARD
114,25,0.2,A6,100gsm Premium Smooth White Paper,None,Single Sided,,13.72,4,FLY-512-546-656-611-STANDARD
115,25,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,,13.09,3,FLY-659-703-572-557-STANDARD
116,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-528-569-603-472-STANDARD
117,25,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,,13.68,4,FLY-519-612-554-521-STANDARD
118,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,,17.48,4,FLY-464-616-515-520-STANDARD
119,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,,23.46,3,FLY-468-460-461-614-STANDARD
120,25,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-453-522-524-458-STANDARD
121,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-615-560-513-413-STANDARD
122,25,0.0,A5,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-565-564-512-569-STANDARD
123,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,,13.54,3,FLY-563-655-515-563-STANDARD
124,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Single Sided,,17.15,3,FLY-463-599-525-650-STANDARD
125,25,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-506-554-607-507-STANDARD
126,25,0.0,A6,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-515-565-509-421-STANDARD
127,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,20.76,4,FLY-601-607-609-608-STANDARD
128,25,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,,16.24,3,FLY-458-559-606-423-STANDARD
129,25,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,,13.54,3,FLY-473-615-513-661-STANDARD
130,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-513-562-602-563-STANDARD
131,25,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,,14.44,3,FLY-605-600-601-606-STANDARD
132,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-693-514-565-564-STANDARD
133,25,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,22.8,3,FLY-558-611-509-468-STANDARD
134,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,13.09,3,FLY-662-658-660-553-STANDARD
135,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-505-666-521-419-STANDARD
136,25,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,18.05,3,FLY-464-561-425-544-STANDARD
137,25,0.0,A6,350gsm Recycled Uncoated,None,Double Sided,,19.0,3,FLY-563-657-517-649-STANDARD
138,25,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,15.16,4,FLY-498-661-556-469-STANDARD
139,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-470-519-612-518-STANDARD
140,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,,14.25,3,FLY-551-516-514-652-STANDARD
141,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-698-715-508-600-STANDARD
142,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-614-656-453-557-STANDARD
143,25,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-466-563-520-505-STANDARD
144,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-657-602-552-650-STANDARD
145,25,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,21.66,3,FLY-565-606-600-651-STANDARD
146,25,0.0,A4,170gsm Art Paper Silk Finish,None,Double Sided,,16.15,3,FLY-529-515-554-610-STANDARD
147,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-508-612-611-702-STANDARD
148,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-481-569-514-568-STANDARD
149,25,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-475-700-701-515-STANDARD
150,25,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,,16.61,4,FLY-520-565-521-515-STANDARD
151,25,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,14.9,3,FLY-699-606-565-557-STANDARD
152,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-647-603-648-602-STANDARD
153,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-515-526-479-512-STANDARD
154,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Double Sided,,15.68,3,FLY-518-560-458-516-STANDARD
155,25,0.0,A7,170gsm Art Paper Silk Finish,None,Double Sided,,14.25,3,FLY-463-599-607-559-STANDARD
156,25,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-548-601-610-618-STANDARD
157,25,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-611-505-479-573-STANDARD
158,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-510-623-603-607-STANDARD
159,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-520-756-701-608-STANDARD
160,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.9,3,FLY-548-462-573-566-STANDARD
161,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,21.85,4,FLY-516-600-653-599-STANDARD
162,50,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-657-602-552-650-STANDARD
163,50,0.0,A4,300gsm Art Board Coated,None,Double Sided,,18.05,3,FLY-515-606-707-604-STANDARD
164,50,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,14.01,3,FLY-609-553-609-462-STANDARD
165,50,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,15.88,4,FLY-498-661-556-469-STANDARD
166,50,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,27.08,3,FLY-569-562-466-614-STANDARD
167,50,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,31.35,4,FLY-462-603-607-656-STANDARD
169,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-510-623-603-607-STANDARD
