SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-4c4cde279d,Whiteboards,30,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,136.93,None
R1-4d049b3457,Whiteboards,1,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,21.42,None
R1-4dada0fc02,Whiteboards,30,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,94.96,None
R1-4e23c13c77,Whiteboards,20,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,32.65,None
R1-505bc04bb5,Whiteboards,15,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,35.93,None
R1-5100925b42,Whiteboards,25,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,267.54,None
R1-513505fe7d,Whiteboards,45,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,128.31,None
R1-522e435054,Whiteboards,6,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,81.21,None
R1-527c94bfdb,Whiteboards,1,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,24.63,None
R1-52d4450863,Whiteboards,9,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,123.06,None
R1-54522a2a26,Whiteboards,15,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,54.51,None
R1-54e0607d86,Whiteboards,35,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,39.62,None
R1-5a53738f34,Whiteboards,45,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,407.07,None
R1-5b9e57b14d,Whiteboards,3,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,26.25,None
R1-5bb0f4590f,Whiteboards,8,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,24.90,None
R1-5c4895a9d6,Whiteboards,25,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,108.64,None
R1-5d53042307,Whiteboards,20,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,236.09,None
R1-5dc9f95394,Whiteboards,20,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,102.03,None
R1-5e5e5bca15,Whiteboards,10,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,62.79,None
