SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-013dcef111,Foam Signs,45,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,1 Set,20,115.66,None
R1-0147dc9a5d,Foam Signs,2,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,8 Sets,20,272.42,None
R1-0149753d7c,Foam Signs,15,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,994.97,None
R1-0149bc9a9b,Foam Signs,5,A1,A1,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,4 Sets,20,207.33,None
R1-0151e1ae1a,Foam Signs,40,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,14 Sets,20,2969.22,None
R1-0151f84272,Foam Signs,10,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,7 Sets,20,560.87,None
R1-0157d32a5e,Foam Signs,5,A1,A1,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,565.92,None
R1-01585206a1,Foam Signs,25,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,1260.33,None
R1-015a690453,Foam Signs,7,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,10 Sets,20,664.82,None
R1-015ab48b32,Foam Signs,9,A1,A1,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,8 Sets,20,619.21,None
R1-015c974002,Foam Signs,7,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,11 Sets,20,403.2,None
R1-015d91da17,Foam Signs,1,A1,A1,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,93.98,None
R1-01668828bc,Foam Signs,35,A1,A1,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,7 Sets,20,1731.36,None
R1-0167090f5f,Foam Signs,35,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,15 Sets,20,3158.91,None
R1-016c26cbe6,Foam Signs,35,A0,A0,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,5 Sets,20,3580.26,None
R1-016e8c4a68,Foam Signs,5,A1,A1,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,15 Sets,20,975.2,None
R1-01709a4f1c,Foam Signs,1,A2,A2,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,15 Sets,20,337.92,None
R1-017330e825,Foam Signs,6,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,15 Sets,20,671.2,None
R1-01789956f5,Foam Signs,40,A2,A2,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,12 Sets,20,2215.84,None
R1-01833049fb,Foam Signs,15,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,9 Sets,20,3546.3,None
R1-0184ba5fa9,Foam Signs,15,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,6 Sets,20,575.95,None
R1-018ea3d08a,Foam Signs,45,A0,A0,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,9 Sets,20,6611.3,None
R1-0193793bb2,Foam Signs,4,A1,A1,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,8 Sets,20,358.08,None
R1-019b4a7a9f,Foam Signs,40,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,4 Sets,20,3572.44,None
R1-019c6f6103,Foam Signs,1,A3,A3,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,6 Sets,20,134.94,None
