SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-1918c1fbc9,Display Board,20,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,1047.39,None
R1-1950dfd050,Display Board,5,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,526.07,None
R1-1970ff1a59,Display Board,10,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,343.19,None
R1-19d6bbeff1,Display Board,10,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,38.35,None
R1-19f1b914e3,Display Board,40,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,1056.77,None
R1-1a05226836,Display Board,40,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,69.58,None
R1-1a0a3948e2,Display Board,15,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,583.82,None
R1-1a1f2d5d5d,Display Board,6,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,458.13,None
R1-1a2175e373,Display Board,30,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,655.88,None
R1-1a731f3838,Display Board,3,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,361.03,None
R1-1a759def3a,Display Board,20,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,999.92,None
R1-1aa0c6af73,Display Board,25,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,697.06,None
R1-1b135eca08,Display Board,15,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,1780.27,None
R1-1b7154c458,Display Board,5,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,6 Sets,20,153.66,None
R1-1bbd693cd0,Display Board,5,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,359.65,None
R1-1bea25cf07,Display Board,25,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,1509.53,None
R1-1beb499c15,Display Board,15,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,2105.44,None
R1-1bedad7182,Display Board,4,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,788.26,None
R1-1bef0302ec,Display Board,5,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,899.34,None
R1-1bf11ded41,Display Board,8,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,6 Sets,20,236.60,None
R1-1c4db2c231,Display Board,50,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,556.08,None
R1-1c7470f303,Display Board,1,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,142.81,None
R1-1c880c8351,Display Board,25,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,944.53,None
R1-1c997dc391,Display Board,10,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,753.64,None
R1-1cdcd29467,Display Board,5,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,384.63,None
R1-1ce234f593,Display Board,10,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,414.00,None
R1-1d163a5291,Display Board,25,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,6 Sets,20,280.29,None
R1-1d2229b535,Display Board,6,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,109.47,None
R1-1d40af3557,Display Board,4,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,32.28,None
R1-1d47768f09,Display Board,40,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,730.59,None
R1-1ded5876ff,Display Board,15,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,1942.86,None
R1-1e2ee436af,Display Board,40,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,784.35,None
R1-1e82bc1db9,Display Board,5,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,261.38,None
R1-1ea5b9e561,Display Board,5,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,856.93,None
R1-1eaf465923,Display Board,40,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,1647.14,None
R1-1eb7b18511,Display Board,30,A2,A2,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,308.95,None
R1-1ec63233aa,Display Board,3,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,644.88,None
R1-1f37155ccb,Display Board,40,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,466.39,None
R1-1f58c8c8be,Display Board,4,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,419.17,None
R1-2010fcd54c,Display Board,9,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,283.09,None
R1-20553b7fe5,Display Board,20,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,2817.96,None
R1-206ed401dc,Display Board,5,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,598.56,None
R1-208c0ea664,Display Board,30,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,1364.33,None
R1-20e90e70c9,Display Board,50,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,1079.96,None
R1-216eadf5fb,Display Board,40,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,938.69,None
R1-217e57b5f4,Display Board,2,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,464.48,None
R1-2194a8f5a0,Display Board,5,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,71.43,None
R1-21b8823fab,Display Board,9,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,202.81,None
R1-21bdcbd9d0,Display Board,25,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,465.52,None
R1-21f452168a,Display Board,20,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,207.38,None
R1-225a5fb253,Display Board,20,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,7 Sets,20,263.15,None
R1-232f45e635,Display Board,25,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,388.16,None
R1-23471bc83a,Display Board,30,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,1517.46,None
R1-2361deac4c,Display Board,10,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,203.34,None
R1-237eb50145,Display Board,8,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,534.92,None
R1-2401a94acf,Display Board,30,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,1933.21,None
R1-2441b8e36e,Display Board,40,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,598.38,None
R1-24602b6a0c,Display Board,30,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,602.13,None
R1-24901a563d,Display Board,2,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,126.13,None
